phase,date,locality,state,event_type_raw,exclude_reason
1,2017-01-03,Astoria,OR,strike,strike_out_of_scope
1,2017-01-10,San Diego,CA,strike,strike_out_of_scope
1,2017-01-10,San Diego,CA,strike,strike_out_of_scope
1,2017-01-18,Santa Rosa,CA,strike,strike_out_of_scope
1,2017-02-02,New York,NY,strike,strike_out_of_scope
1,2017-02-16,Los Angeles,CA,strike,strike_out_of_scope
1,2017-02-16,Napa,CA,strike,strike_out_of_scope
1,2017-02-16,San Diego,CA,strike,strike_out_of_scope
1,2017-02-16,Denver,CO,strike,strike_out_of_scope
1,2017-02-16,Stamford,CT,strike,strike_out_of_scope
1,2017-02-16,Boca Raton,FL,strike,strike_out_of_scope
1,2017-02-16,Bonita Springs,FL,strike,strike_out_of_scope
1,2017-02-16,Palm Beach,FL,strike,strike_out_of_scope
1,2017-02-16,Baton Rouge,LA,strike,strike_out_of_scope
1,2017-02-16,New Orleans,LA,strike,strike_out_of_scope
1,2017-02-16,Milford,MA,strike,strike_out_of_scope
1,2017-02-16,Northampton,MA,strike,strike_out_of_scope
1,2017-02-16,West Springfield,MA,strike,strike_out_of_scope
1,2017-02-16,Annapolis,MD,strike,strike_out_of_scope
1,2017-02-16,Ypsilanti,MI,strike,strike_out_of_scope
1,2017-02-16,Asheville,NC,strike,strike_out_of_scope
1,2017-02-16,Weehawken,NJ,strike,strike_out_of_scope
1,2017-02-16,Las Vegas,NV,strike,strike_out_of_scope
1,2017-02-16,Carle Place,NY,strike,strike_out_of_scope
1,2017-02-16,Yonkers,NY,strike,strike_out_of_scope
1,2017-02-16,Catoosa,OK,strike,strike_out_of_scope
1,2017-02-16,Oklahoma City,OK,strike,strike_out_of_scope
1,2017-02-16,Tulsa,OK,strike,strike_out_of_scope
1,2017-02-16,Hermiston,OR,strike,strike_out_of_scope
1,2017-02-16,Umatilla,OR,strike,strike_out_of_scope
1,2017-02-16,King of Prussia,PA,strike,strike_out_of_scope
1,2017-02-16,Philadelphia,PA,strike,strike_out_of_scope
1,2017-02-16,Bluffton,SC,strike,strike_out_of_scope
1,2017-02-16,Greenville,SC,strike,strike_out_of_scope
1,2017-02-16,Lexington,SC,strike,strike_out_of_scope
1,2017-02-16,Rock Hill,SC,strike,strike_out_of_scope
1,2017-02-16,Nashville,TN,strike,strike_out_of_scope
1,2017-02-16,Nolensville,TN,strike,strike_out_of_scope
1,2017-02-16,Waco,TX,strike,strike_out_of_scope
1,2017-02-16,Ogden,UT,strike,strike_out_of_scope
1,2017-02-16,Salt Lake City,UT,strike,strike_out_of_scope
1,2017-04-14,Sarasota,FL,hunger strike,strike_out_of_scope
1,2017-04-17,Dover,DE,sick out; strike,strike_out_of_scope
1,2017-04-18,Nashville,TN,hunger strike,strike_out_of_scope
1,2017-04-25,New Haven,CT,hunger strike,strike_out_of_scope
1,2017-05-01,Springdale,AR,march; strike,strike_out_of_scope
1,2017-05-01,New Haven,CT,protest; hunger strike,strike_out_of_scope
1,2017-06-10,Trenton,NJ,hunger strike,strike_out_of_scope
1,2017-06-12,Adelanto,CA,hunger strike,strike_out_of_scope
1,2017-06-16,Louisville,KY,strike,strike_out_of_scope
1,2017-06-19,Long Beach,CA,strike,strike_out_of_scope
1,2017-06-19,Los Angeles,CA,strike,strike_out_of_scope
1,2017-06-19,San Antonio,CA,strike,strike_out_of_scope
1,2017-06-20,Long Beach,CA,strike,strike_out_of_scope
1,2017-06-26,Greenfield,MA,strike; rally,strike_out_of_scope
1,2017-07-11,Newark,NJ,protest; strike,strike_out_of_scope
1,2017-07-12,Denver,CO,protest; strike,strike_out_of_scope
1,2017-08-09,South Brunswick,NJ,strike,strike_out_of_scope
1,2017-10-19,San Andreas,CA,protest; march; strike,strike_out_of_scope
1,2017-10-27,Lebanon,PA,protest; strike,strike_out_of_scope
1,2017-12-05,Oakland,CA,protest; strike,strike_out_of_scope
1,2017-12-05,Spartanburg,SC,protest; strike,strike_out_of_scope
1,2017-12-06,El Paso,TX,protest; hunger strike,strike_out_of_scope
1,2018-01-03,Iowa Park,TX,hunger strike,strike_out_of_scope
1,2018-03-01,Meridian,MS,hunger strike,strike_out_of_scope
1,2018-03-23,Coffeeville,MS,strike,strike_out_of_scope
1,2018-03-30,Frankfort,KY,strike; protest,strike_out_of_scope
1,2018-05-07,Los Angeles,CA,strike,strike_out_of_scope
1,2018-05-07,Santa Barbara,CA,protest;strike,strike_out_of_scope
1,2018-05-17,New York,NY,hunger strike,strike_out_of_scope
1,2018-05-23,San Francisco,CA,strike,strike_out_of_scope
1,2018-05-23,Newark,NJ,strike; protest,strike_out_of_scope
1,2018-06-23,McAllen,TX,hunger strike,strike_out_of_scope
1,2018-07-04,Portland,OR,protest; hunger strike,strike_out_of_scope
1,2018-07-12,Burlington,VT,rally; march; strike,strike_out_of_scope
1,2018-07-14,Tacoma,WA,protest; hunger strike,strike_out_of_scope
1,2018-07-21,Los Angeles,CA,protest; rent strike,strike_out_of_scope
1,2018-07-23,Providence,RI,rally; strike,strike_out_of_scope
1,2018-07-24,North Dartmouth,MA,protest; hunger-strike,strike_out_of_scope
1,2018-07-26,North Dartmouth,MA,protest; hunger-strike,strike_out_of_scope
1,2018-07-27,Houston,TX,hunger strike,strike_out_of_scope
1,2018-07-30,Georgetown,DE,hunger strike,strike_out_of_scope
1,2018-08-09,Baltimore,MD,strike,strike_out_of_scope
1,2018-08-27,Longview,WA,march; strike,strike_out_of_scope
1,2018-08-28,New Castle County,DE,protest; hunger strike,strike_out_of_scope
1,2018-09-10,Tacoma,WA,strike,strike_out_of_scope
1,2018-09-12,Dallas,TX,rally; strike,strike_out_of_scope
1,2018-09-17,Cheshire,CT,strike,strike_out_of_scope
1,2018-09-18,Chicago,IL,strike; protest,strike_out_of_scope
1,2018-09-18,Portland,OR,protest; strike,strike_out_of_scope
1,2018-09-27,Baltimore,MD,strike,strike_out_of_scope
1,2018-09-28,Farmington,CT,protest; strike,strike_out_of_scope
1,2018-10-07,Detroit,MI,strike,strike_out_of_scope
1,2018-10-18,Baltimore,MD,strike,strike_out_of_scope
1,2018-10-23,Berkeley,CA,protest;strike,strike_out_of_scope
1,2018-10-30,Cheshire,CT,strike,strike_out_of_scope
1,2018-11-03,Detroit,MI,strike,strike_out_of_scope
1,2018-11-26,Indiana,PA,strike,strike_out_of_scope
1,2018-12-03,San Francisco,CA,strike,strike_out_of_scope
1,2018-12-04,Chicago,IL,strike,strike_out_of_scope
1,2018-12-05,Geneva,IL,strike;rally,strike_out_of_scope
1,2018-12-07,Chapel Hill,NC,grade-strike,strike_out_of_scope
1,2018-12-12,San Luis Obispo,CA,protest;strike,strike_out_of_scope
1,2019-01-08,St. Petersburg,FL,"strike, protest",strike_out_of_scope
1,2019-01-14,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-14,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-14,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-14,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-14,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-14,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-15,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-15,Los Angeles,CA,rally; strike,strike_out_of_scope
1,2019-01-15,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-16,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-17,Los Angeles,CA,picket line; strike,strike_out_of_scope
1,2019-01-18,Los Angeles,CA,protest; strike,strike_out_of_scope
1,2019-01-31,El Paso,TX,hunger strike,strike_out_of_scope
1,2019-02-11,Denver,CO,strike,strike_out_of_scope
1,2019-02-15,South Lake Tahoe,CA,strike,strike_out_of_scope
1,2019-02-19,Charleston,WV,strike; protest,strike_out_of_scope
1,2019-02-19,Martinsburg,WV,strike; protest,strike_out_of_scope
1,2019-02-27,Madison,OH,strike,strike_out_of_scope
1,2019-03-06,Frankfort,KY,protest; strike,strike_out_of_scope
1,2019-03-18,Miami,FL,hunger strike; protest,strike_out_of_scope
1,2019-04-11,Sacramento,CA,rally; strike,strike_out_of_scope
1,2019-04-12,Somerville,MA,strike; protest,strike_out_of_scope
1,2019-05-08,Los Angeles,CA,"strike, rally",strike_out_of_scope
1,2019-05-08,San Francisco,CA,"strike, protest",strike_out_of_scope
1,2019-05-08,Long Island City,NY,strike,strike_out_of_scope
1,2019-05-08,New York,NY,"strike, rally",strike_out_of_scope
1,2019-05-08,Philadelphia,PA,"strike, protest",strike_out_of_scope
1,2019-05-28,Pittsburgh,PA,strike,strike_out_of_scope
1,2019-05-30,North Haven,CT,strike,strike_out_of_scope
1,2019-06-03,Chicago,IL,strike; rally,strike_out_of_scope
1,2019-06-04,Chicago,IL,strike; rally,strike_out_of_scope
1,2019-06-05,Chicago,IL,strike; rally,strike_out_of_scope
1,2019-06-10,Franklin Lakes,NJ,strike,strike_out_of_scope
1,2019-06-13,Detroit,MI,strike,strike_out_of_scope
1,2019-06-15,Charleston,SC,Strike; march,strike_out_of_scope
1,2019-06-27,Washington,DC,strike,strike_out_of_scope
1,2019-06-27,Fort Lauderdale,FL,strike,strike_out_of_scope
1,2019-06-27,Miami,FL,strike,strike_out_of_scope
1,2019-06-27,New York,NY,strike,strike_out_of_scope
1,2019-07-08,Kalamazoo,MI,Strike,strike_out_of_scope
1,2019-08-24,Greenville,MS,strike; walkout,strike_out_of_scope
1,2019-08-24,Greenwood,MS,strike; walkout,strike_out_of_scope
1,2019-08-25,Louisville,KY,strike; picket,strike_out_of_scope
1,2019-09-09,Mountain Home,AR,protest; hunger-strike,strike_out_of_scope
1,2019-09-16,Flint,MI,walk-out; strike,strike_out_of_scope
1,2019-09-18,Burton,MI,strike; protest,strike_out_of_scope
1,2019-09-18,Flint,MI,strike; protest,strike_out_of_scope
1,2019-09-18,Swartz Creek,MI,strike; protest,strike_out_of_scope
1,2019-09-18,Spring Hill,TN,strike; protest,strike_out_of_scope
1,2019-09-20,Alameda,CA,protest; strike; walk-out; march,strike_out_of_scope
1,2019-09-20,Portland,OR,strike; protest,strike_out_of_scope
1,2019-09-27,Fort Collins,CO,protest; rally; strike,strike_out_of_scope
1,2019-09-27,West Lafayette,IN,protest; rally; strike,strike_out_of_scope
1,2019-09-27,Norman,OK,strike; protest,strike_out_of_scope
1,2019-09-28,Lawrence,MA,"protest, strike",strike_out_of_scope
1,2019-10-17,Chicago,IL,strike,strike_out_of_scope
1,2019-10-17,Chicago,IL,strike,strike_out_of_scope
1,2019-10-17,Chicago,IL,strike,strike_out_of_scope
1,2019-10-17,Chicago,IL,strike,strike_out_of_scope
1,2019-10-17,Chicago,IL,strike,strike_out_of_scope
1,2019-10-17,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-18,Chicago,IL,strike,strike_out_of_scope
1,2019-10-29,Decatur,IL,strike,strike_out_of_scope
1,2019-10-30,Dublin,CA,hunger strike; work strike; protest,strike_out_of_scope
1,2019-11-12,Sumter,SC,rally;strike,strike_out_of_scope
1,2019-11-13,Santa Barbara,CA,strike,strike_out_of_scope
1,2019-12-03,Cambridge,MA,strike; picket,strike_out_of_scope
1,2019-12-29,Skokie,IL,protest; strike,strike_out_of_scope
1,2019-12-29,Monsey,NY,protest; strike,strike_out_of_scope
1,2019-12-29,Stony Point,NY,protest; strike,strike_out_of_scope
1,2020-01-06,Yreka,CA,strike,strike_out_of_scope
